Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.7388218594748048,0.5051724137931034,0.7834224598930482,0.6142557651991615,0.8417499806246609
XGBoost,0.759403832505323,0.5407925407925408,0.6203208556149733,0.5778331257783312,0.8068033273915627
Random Forest,0.7885024840312278,0.6266666666666667,0.5026737967914439,0.5578635014836796,0.8241997984964736
